Iteración;Tiempo (s);Memoria (KB);Profundidad
1;0.083093;31.117188;69
2;0.031086;4.539062;39
3;0.010507;4.539062;39
4;0.075325;6.945312;61
5;0.046912;5.632812;49
6;0.005624;5.195312;45
7;0.028065;5.195312;45
8;0.077757;7.382812;65
9;0.135435;6.070312;53
10;0.106735;8.039062;71
11;0.047448;7.601562;67
12;0.026218;12.195312;109
13;0.057237;8.695312;77
14;0.056856;7.601562;67
15;0.003366;3.007812;25
16;0.115884;16.679688;97
17;0.052853;4.320312;37
18;0.081559;6.289062;55
19;0.083181;6.507812;57
20;0.118507;7.820312;69
;;;
