Iteración;Tiempo (s);Memoria (KB);Profundidad
1;0.705437;224.960938;15
2;1.088445;220.937500;15
3;0.031788;1.421875;11
4;0.177033;119.218750;13
5;1.038120;220.937500;15
6;0.605254;213.828125;15
7;0.119680;30.843750;13
8;0.612212;220.937500;15
9;1.612279;219.515625;15
10;1.176476;220.937500;15
11;0.760760;220.937500;15
12;0.556651;218.421875;15
13;0.126994;40.796875;13
14;0.770659;220.937500;15
15;0.036819;1.421875;11
16;1.105849;220.937500;15
17;0.600496;220.937500;15
18;0.876631;220.937500;15
19;0.690130;220.937500;15
20;0.560529;219.296875;15
;;;
