Iteración;Tiempo (s);Memoria (KB);Profundidad
1;29.666686;5.312500;15
2;36.221998;4.984375;15
3;0.659661;4.328125;11
4;4.894970;4.375000;13
5;36.745749;4.984375;15
6;31.173567;4.984375;15
7;3.130904;4.375000;13
8;32.475344;4.984375;15
9;31.550505;4.984375;15
10;33.818939;4.984375;15
11;26.649339;4.984375;15
12;21.923282;4.984375;15
13;3.010610;4.375000;13
14;30.143181;4.984375;15
15;0.647486;3.765625;11
16;39.532532;4.984375;15
17;23.927480;4.984375;15
18;33.209393;4.984375;15
19;29.020418;4.984375;15
20;21.890082;4.984375;15
;;;
